	total	sturm	wind	regen	wetter	witterung	schnee	kälte	hitze	wärme	wolken	frost	klima	blitz	fluth	gewitter	nebel	überschwemmung	grad_wärme	dürre	hagel	orkan	stürmen	regenguß	sonnenschein	schneefall	unwetter	bewölkter_himmel	tau	kühle	nordwind	regenwetter	grad_kälte	schönes_wetter	tauwetter	hochwasser	windstille	schneegestöber	westwind	südwind	schneesturm	ostwind	grad_frost	taifun	nachtfrost	schneemasse	niederschlag	hagelschlag	schnee_gefallen	schlechtes_wetter	regenzeit	heiterer_himmel	windstoß	kältegrad	sturmwind	schnee_bedeckt	wolkenbruch	blitzstrahl	platzregen	donnerschlag	wind_wetter	regenschauer	südwestwind	nordostwind	wetter_begünstigt	nordwind_barometer	anprall	heftiger_sturm	ungewitter	gewitterregen	schloßen	südostwind	windhose	hagelwetter	schneedecke	wirbelwind	gewölk	sonnenhitze	witterungsverhältnisse	gewitterwolke	blitzschlag	klimatische_verhältnisse	nordwestwind	brise	schneeflocken	frostwetter	frühlingswetter	windrichtung	sommerhitze	hochfluth	regentag	sturmfluth	schwemmung	schneetreiben	klimate	himmelsstrich	schneeverwehung	wasserhose	hagelkörner	winterkälte	schneewehen	seewind	naturereignis	scirocco	witterungswechsel	tornado	sonnenwärme	wärmegrad	herbstwetter	nordlichter	gewittersturm	fluthwelle	windsbraut	regenwolken	sommerwetter	strichregen	hagelschauer	landregen	wirbelsturm	winterwetter	landwind	regenfall	wetterwolken	sprühregen	seesturm	springfluth	nordweststurm	schneewetter	herbstregen	wolkenmasse	hitzegrad	wolkenschicht	wasserfluth	kalte	cyklon	sturmwetter	kahlfrost	mittagshitze	weststurm	südweststurm	staubregen	nordsturm	hagelschlossen	regenperiode	überfluthung	guß	schlackerwetter	herbstwitterung	aequinoctialsturm	gestöber	hagelsturm	hagelstücke	polarlichter	nebelwolken	reiffrost	frühlingswitterung	maiwetter	windstärke
1812	199	30	6	14	18	13	8	16	7	2	2	9	10	9	2	3	9	2	1	0	0	1	3	1	1	0	0	0	1	0	1	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	0	0	4	1	0	0	2	1	0	4	0	1	1	1	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1813	175	62	11	9	9	5	6	12	4	1	4	5	1	4	4	3	4	8	0	1	1	0	4	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1814	80	21	4	6	5	6	5	1	0	1	4	3	2	1	1	0	7	0	0	1	1	3	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1815	86	26	4	8	2	2	1	1	1	0	3	0	1	7	2	4	1	2	0	1	2	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1816	115	13	10	16	9	9	6	3	7	1	1	2	3	2	0	1	0	3	0	0	3	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	2	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1817	141	25	8	15	2	9	12	5	5	6	2	4	2	1	1	4	4	4	0	3	5	3	2	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1818	140	16	10	6	6	6	9	1	7	3	2	3	4	13	2	1	1	2	0	3	2	9	1	2	0	0	0	0	0	0	1	1	0	0	1	0	3	0	1	0	0	2	0	1	1	1	1	0	0	0	0	0	1	0	1	2	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1819	132	22	16	11	6	6	6	2	3	2	0	1	2	8	2	5	3	1	0	2	3	6	1	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1820	103	16	2	6	3	3	15	5	7	0	1	6	3	2	1	0	1	5	0	1	2	4	1	1	0	0	0	0	0	0	2	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1821	111	31	18	10	2	3	4	2	3	5	1	0	2	1	1	2	0	2	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
